Run 0: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 1: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 3: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 4: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 5: {Accuracy: 0.67, Precision: 0.00, Recall: NaN}
Run 6: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 7: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 8: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 9: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------9/10----------------

Run 10: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 11: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 12: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 13: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 14: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 15: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 16: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 17: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 18: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 19: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------19/20----------------

Run 20: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 21: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 22: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 23: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 24: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 25: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 26: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 27: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 28: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 29: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------29/30----------------

Run 30: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 31: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 32: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 33: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 34: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 35: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 36: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 37: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 38: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 39: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------39/40----------------

Run 40: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 41: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 42: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 43: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 44: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 45: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 46: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 47: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 48: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 49: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------49/50----------------

Run 50: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 51: {Accuracy: 0.75, Precision: 0.00, Recall: NaN}
Run 52: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 53: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 54: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 55: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 56: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 57: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 58: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 59: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------58/60----------------

Run 60: {Accuracy: 0.80, Precision: NaN, Recall: 0.00}
Run 61: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 62: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 63: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 64: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 65: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 66: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 67: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 68: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 69: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------67/70----------------

Run 70: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 71: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 72: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 73: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 74: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 75: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 76: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 77: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 78: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 79: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------77/80----------------

Run 80: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 81: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 82: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 83: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 84: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 85: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 86: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 87: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 88: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 89: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------87/90----------------

Run 90: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 91: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 92: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
