Run 0: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 1: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 3: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 4: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 5: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 6: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 7: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 8: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 9: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------9/10----------------

Run 10: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 11: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 12: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 13: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 14: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 15: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 16: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 17: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 18: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 19: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------18/20----------------

Run 20: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 21: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 22: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 23: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 24: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 25: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 26: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 27: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 28: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 29: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------27/30----------------

Run 30: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 31: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 32: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 33: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 34: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 35: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 36: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 37: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 38: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 39: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------36/40----------------

Run 40: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 41: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 42: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 43: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 44: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 45: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 46: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 47: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 48: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 49: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------46/50----------------

Run 50: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 51: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 52: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 53: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 54: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 55: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 56: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 57: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 58: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 59: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------55/60----------------

Run 60: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 61: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 62: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 63: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 64: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 65: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
